threshold,successes(â‰¤t),total_files,p_leq_t,p_exact_t
1,5,290,0.017241379310344827,0.017241379310344827
2,20,290,0.06896551724137931,0.05172413793103448
3,51,290,0.17586206896551723,0.10689655172413794
4,90,290,0.3103448275862069,0.13448275862068965
5,133,290,0.4586206896551724,0.1482758620689655
6,168,290,0.5793103448275863,0.1206896551724138
7,203,290,0.7,0.1206896551724138
8,229,290,0.7896551724137931,0.0896551724137931
9,252,290,0.8689655172413793,0.07931034482758621
10,271,290,0.9344827586206896,0.06551724137931035
11,280,290,0.9655172413793104,0.03103448275862069
12,287,290,0.9896551724137931,0.02413793103448276
13,289,290,0.996551724137931,0.006896551724137931
14,290,290,1.0,0.0034482758620689655
15,290,290,1.0,0.0
